2023-03-14 17:17:19.819858: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2023-03-14 17:17:20.383025: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2023-03-14 17:17:20.383468: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2023-03-14 17:17:20.410005: E tensorflow/stream_executor/cuda/cuda_driver.cc:328] failed call to cuInit: CUDA_ERROR_UNKNOWN: unknown error
2023-03-14 17:17:20.410040: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: islab-Reborn1114
2023-03-14 17:17:20.410047: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: islab-Reborn1114
2023-03-14 17:17:20.410118: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:200] libcuda reported version is: 515.86.1
2023-03-14 17:17:20.410134: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:204] kernel reported version is: 515.86.1
2023-03-14 17:17:20.410139: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:310] kernel version seems to match DSO: 515.86.1
2023-03-14 17:17:20.411542: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
sys.args:  ['exp_train_CFGExplainer.py', '32', 'data', '1024-512-128', '0.00001', 'classifier_lynxv2_', 'yancfg_complete_sample2', '300', 'ep300_b32_elr00001_']
created Graph GCN model
+ loaded padded_train Benign
+ loaded padded_train Malware
+ gcn model: <util.models.GCN object at 0x7fb011782c10>
+ explainer model: <Explainer.ExplainerModule object at 0x7fa22ee8f040>
+ ep 0  acc = tf.Tensor(0.51, shape=(), dtype=float32)
+ ep 1  acc = tf.Tensor(0.52, shape=(), dtype=float32)
+ ep 2  acc = tf.Tensor(0.54, shape=(), dtype=float32)
+ ep 3  acc = tf.Tensor(0.53, shape=(), dtype=float32)
+ ep 4  acc = tf.Tensor(0.53, shape=(), dtype=float32)
+ ep 5  acc = tf.Tensor(0.54, shape=(), dtype=float32)
+ ep 6  acc = tf.Tensor(0.55, shape=(), dtype=float32)
+ ep 7  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 8  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 9  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 10  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 11  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 12  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 13  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 14  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 15  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 16  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 17  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 18  acc = tf.Tensor(0.56, shape=(), dtype=float32)
+ ep 19  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 20  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 21  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 22  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 23  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 24  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 25  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 26  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 27  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 28  acc = tf.Tensor(0.57, shape=(), dtype=float32)
+ ep 29  acc = tf.Tensor(0.6, shape=(), dtype=float32)
+ ep 30  acc = tf.Tensor(0.65, shape=(), dtype=float32)
+ ep 31  acc = tf.Tensor(0.65, shape=(), dtype=float32)
+ ep 32  acc = tf.Tensor(0.65, shape=(), dtype=float32)
+ ep 33  acc = tf.Tensor(0.65, shape=(), dtype=float32)
+ ep 34  acc = tf.Tensor(0.65, shape=(), dtype=float32)
+ ep 35  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 36  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 37  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 38  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 39  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 40  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 41  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 42  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 43  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 44  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 45  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 46  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 47  acc = tf.Tensor(0.89, shape=(), dtype=float32)
+ ep 48  acc = tf.Tensor(0.89, shape=(), dtype=float32)
+ ep 49  acc = tf.Tensor(0.89, shape=(), dtype=float32)
+ ep 50  acc = tf.Tensor(0.89, shape=(), dtype=float32)
+ ep 51  acc = tf.Tensor(0.89, shape=(), dtype=float32)
+ ep 52  acc = tf.Tensor(0.89, shape=(), dtype=float32)
+ ep 53  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 54  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 55  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 56  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 57  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 58  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 59  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 60  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 61  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 62  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 63  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 64  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 65  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 66  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 67  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 68  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 69  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 70  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 71  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 72  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 73  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 74  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 75  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 76  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 77  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 78  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 79  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 80  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 81  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 82  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 83  acc = tf.Tensor(0.88, shape=(), dtype=float32)
+ ep 84  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 85  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 86  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 87  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 88  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 89  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 90  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 91  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 92  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 93  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 94  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 95  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 96  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 97  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 98  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 99  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 100  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 101  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 102  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 103  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 104  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 105  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 106  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 107  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 108  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 109  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 110  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 111  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 112  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 113  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 114  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 115  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 116  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 117  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 118  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 119  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 120  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 121  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 122  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 123  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 124  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 125  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 126  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 127  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 128  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 129  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 130  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 131  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 132  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 133  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 134  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 135  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 136  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 137  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 138  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 139  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 140  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 141  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 142  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 143  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 144  acc = tf.Tensor(0.9, shape=(), dtype=float32)
